query,label,complexity,recommended_llm,needs_followup,distractor_label,biomarkers,is_high_risk,query_length
Which African legume has highest methionine: bambara nut or pigeon pea?,comparison,3,TinyLlama,True,,"[""methionine""]",False,11
Compare calcium absorption from traditional vs commercial yogurts,comparison,4,Mistral,True,,"[""calcium""]",False,8
Is palm oil or shea butter better for vitamin K2 absorption?,comparison,3,TinyLlama,True,,"[""vitamin_k""]",False,11
How much selenium should someone with thyroid issues consume daily?,recommendation,4,Mistral,True,,"[""selenium""]",False,10
What's the ideal carbohydrate intake for a child with reactive hypoglycemia?,recommendation,4,Mistral,True,,[],False,11
How much vitamin E should someone with NAFLD consume daily?,recommendation,4,Mistral,True,,"[""vitamin_e""]",False,10
What's the recommended daily chromium intake for someone with insulin resistance?,recommendation,4,Mistral,True,,"[""chromium""]",False,11
How much zinc should a 5-year-old with stunted growth consume daily?,recommendation,5,Mistral,True,,"[""zinc""]",True,11
What's the ideal protein intake for a 60kg Kenyan runner?,recommendation,4,Mistral,True,,[],False,10
How much iron should a breastfeeding woman consume daily?,recommendation,3,Mistral,True,,"[""iron""]",False,9
What's the recommended daily fiber intake for someone with IBS-D?,recommendation,3,Mistral,True,,[],False,10
How much vitamin D should someone with CKD stage 3 consume daily?,recommendation,5,Mistral,True,,"[""vitamin_d""]",True,12
What's the ideal calcium intake for a child with rickets?,recommendation,5,Mistral,True,,"[""calcium""]",True,10
How much magnesium should someone with muscle cramps consume daily?,recommendation,4,Mistral,True,,"[""magnesium""]",False,10
What's the recommended daily potassium intake for someone with hypokalemia?,recommendation,5,Mistral,True,,"[""potassium""]",True,10
How much folate should someone with MTHFR mutation consume daily?,recommendation,5,Mistral,True,,"[""folate""]",True,10
What's the ideal protein intake for a child with cystic fibrosis?,recommendation,5,Mistral,True,,[],True,11
How much zinc should a child with acrodermatitis enteropathica consume daily?,recommendation,5,Mistral,True,,"[""zinc""]",True,11
What's the recommended daily vitamin A intake for a child with measles?,recommendation,5,Mistral,True,,"[""vitamin_a""]",True,12
How much vitamin K should someone with cholestasis consume daily?,recommendation,5,Mistral,True,,"[""vitamin_k""]",True,10
What's the ideal iron intake for a child with sickle cell disease?,recommendation,5,Mistral,True,,"[""iron""]",True,12
How much vitamin C should a child with malnutrition consume daily?,recommendation,5,Mistral,True,,"[""vitamin_c""]",True,11
What's the recommended daily calorie intake for catch-up growth in Nigeria?,recommendation,5,Mistral,True,,[],True,11
How much protein should a child with protein-energy malnutrition consume daily?,recommendation,5,Mistral,True,,[],True,11
What's the ideal fat intake for someone with chylomicron retention disease?,recommendation,5,Mistral,True,,[],True,11
How much vitamin D should a child with rickets consume daily?,recommendation,5,Mistral,True,,"[""vitamin_d""]",True,11
What's the recommended daily iodine intake for pregnant women in Africa?,recommendation,4,Mistral,True,,"[""iodine""]",False,11
How much selenium should someone with Keshan disease consume daily?,recommendation,5,Mistral,True,,"[""selenium""]",True,10
What's the ideal carbohydrate intake for a child with glycogen storage disease?,recommendation,5,Mistral,True,,[],True,12
How much vitamin E should someone with ataxia consume daily?,recommendation,5,Mistral,True,,"[""vitamin_e""]",True,10
What's the recommended daily chromium intake for someone with metabolic syndrome?,recommendation,4,Mistral,True,,"[""chromium""]",False,11
How much zinc should a 2-year-old with chronic diarrhea consume daily?,recommendation,5,Mistral,True,,"[""zinc""]",True,11
What's the ideal protein intake for a 50kg Ghanaian weightlifter?,recommendation,4,Mistral,True,,[],False,10
How much iron should a pregnant woman in Nigeria consume daily?,recommendation,4,Mistral,True,,"[""iron""]",False,11
What's the recommended daily fiber intake for someone with IBS-C?,recommendation,3,Mistral,True,,[],False,10
How much vitamin D should someone with osteoporosis consume daily?,recommendation,4,Mistral,True,,"[""vitamin_d""]",False,10
What's the ideal calcium intake for a child with hypocalcemia?,recommendation,5,Mistral,True,,"[""calcium""]",True,10
How much magnesium should someone with insulin resistance consume daily?,recommendation,4,Mistral,True,,"[""magnesium""]",False,10
What's the recommended daily potassium intake for someone with hypertension?,recommendation,4,Mistral,True,,"[""potassium""]",False,10
How much folate should someone with elevated homocysteine consume daily?,recommendation,5,Mistral,True,,"[""folate""]",True,10
What's the ideal protein intake for a child with MSUD?,recommendation,5,Mistral,True,,"[""leucine""]",True,10
How much zinc should a child with zinc deficiency consume daily?,recommendation,5,Mistral,True,,"[""zinc""]",True,11
What's the recommended daily vitamin A intake for a child with xerophthalmia?,recommendation,5,Mistral,True,,"[""vitamin_a""]",True,12
How much vitamin K should someone with vitamin K deficiency bleeding consume daily?,recommendation,5,Mistral,True,,"[""vitamin_k""]",True,13
What's the ideal iron intake for a child with thalassemia?,recommendation,5,Mistral,True,,"[""iron""]",True,10
How much vitamin C should a child with scurvy consume daily?,recommendation,5,Mistral,True,,"[""vitamin_c""]",True,11
What's the recommended daily calorie intake for weight gain in Nigeria?,recommendation,4,Mistral,True,,[],False,11
How much protein should a child with marasmus consume daily?,recommendation,5,Mistral,True,,[],True,10
What's the ideal fat intake for someone with short bowel syndrome?,recommendation,5,Mistral,True,,[],True,11
How much vitamin D should a child with hypocalcemic seizures consume daily?,recommendation,5,Mistral,True,,"[""vitamin_d""]",True,12
What's the recommended daily iodine intake for breastfeeding women?,recommendation,4,Mistral,True,,"[""iodine""]",False,9
How much selenium should someone with Kashin-Beck disease consume daily?,recommendation,5,Mistral,True,,"[""selenium""]",True,10
What's the ideal carbohydrate intake for someone with reactive hypoglycemia?,recommendation,4,Mistral,True,,[],False,10
How much vitamin E should someone with hemolytic anemia consume daily?,recommendation,5,Mistral,True,,"[""vitamin_e""]",True,11
What's the recommended daily chromium intake for someone with prediabetes?,recommendation,4,Mistral,True,,"[""chromium""]",False,10
How much zinc should a 4-year-old with impaired immunity consume daily?,recommendation,5,Mistral,True,,"[""zinc""]",True,11
What's the ideal protein intake for a 55kg South African cyclist?,recommendation,4,Mistral,True,,[],False,11
How much iron should a vegetarian consume daily?,recommendation,3,Mistral,True,,"[""iron""]",False,8
What's the recommended daily fiber intake for someone with diverticulosis?,recommendation,3,Mistral,True,,[],False,10
How much vitamin D should someone with sarcopenia consume daily?,recommendation,4,Mistral,True,,"[""vitamin_d""]",False,10
What's the ideal calcium intake for a child with osteogenesis imperfecta?,recommendation,5,Mistral,True,,"[""calcium""]",True,11
How much magnesium should someone with migraines consume daily?,recommendation,4,Mistral,True,,"[""magnesium""]",False,9
What's the recommended daily potassium intake for someone with hypokalemia?,recommendation,5,Mistral,True,,"[""potassium""]",True,10
How much folate should someone with neural tube defect history consume daily?,recommendation,5,Mistral,True,,"[""folate""]",True,12
What's the ideal protein intake for a child with PKU?,recommendation,5,Mistral,True,,"[""phenylalanine""]",True,10
How much zinc should a child with diarrhea consume daily?,recommendation,5,Mistral,True,,"[""zinc""]",True,10
What's the recommended daily vitamin A intake for a child with measles complications?,recommendation,5,Mistral,True,,"[""vitamin_a""]",True,13
How much vitamin K should someone with liver disease consume daily?,recommendation,5,Mistral,True,,"[""vitamin_k""]",True,11
What's the ideal iron intake for someone with hemochromatosis?,recommendation,5,Mistral,True,,"[""iron""]",True,9
How much vitamin C should a child with malnutrition consume daily?,recommendation,5,Mistral,True,,"[""vitamin_c""]",True,11
What's the recommended daily calorie intake for athletes in hot climates?,recommendation,4,Mistral,True,,[],False,11
How much protein should a child with kwashiorkor consume daily?,recommendation,5,Mistral,True,,[],True,10
What's the ideal fat intake for someone with pancreatic insufficiency?,recommendation,5,Mistral,True,,[],True,10
How much vitamin D should a child with rickets consume daily?,recommendation,5,Mistral,True,,"[""vitamin_d""]",True,11
What's the recommended daily iodine intake for infants?,recommendation,4,Mistral,True,,"[""iodine""]",False,8
How much selenium should someone with thyroiditis consume daily?,recommendation,4,Mistral,True,,"[""selenium""]",False,9
What's the ideal carbohydrate intake for someone with type 1 diabetes?,recommendation,4,Mistral,True,,[],False,11
How much zinc should a 3-year-old with stunted growth consume daily?,recommendation,5,Mistral,True,,"[""zinc""]",True,11
What's the ideal protein intake for a 65kg Nigerian basketball player?,recommendation,4,Mistral,True,,[],False,11
How much iron should a menstruating woman in Ghana consume daily?,recommendation,4,Mistral,True,,"[""iron""]",False,11
What's the recommended daily fiber intake for someone with ulcerative colitis?,recommendation,3,Mistral,True,,[],False,11
How much vitamin D should someone with CKD stage 2 consume daily?,recommendation,5,Mistral,True,,"[""vitamin_d""]",True,12
What's the ideal calcium intake for a child with hypophosphatemic rickets?,recommendation,5,Mistral,True,,"[""calcium""]",True,11
How much magnesium should someone with muscle spasms consume daily?,recommendation,4,Mistral,True,,"[""magnesium""]",False,10
What's the recommended daily potassium intake for someone with hyperkalemia?,recommendation,5,Mistral,True,,"[""potassium""]",True,10
How much folate should someone with MTHFR C677T genotype consume daily?,recommendation,5,Mistral,True,,"[""folate""]",True,11
What's the ideal protein intake for a child with cystic fibrosis?,recommendation,5,Mistral,True,,[],True,11
How much zinc should a child with acrodermatitis enteropathica consume daily?,recommendation,5,Mistral,True,,"[""zinc""]",True,11
What's the recommended daily vitamin A intake for a child with night blindness?,recommendation,5,Mistral,True,,"[""vitamin_a""]",True,13
How much vitamin K should someone with cholestasis consume daily?,recommendation,5,Mistral,True,,"[""vitamin_k""]",True,10
What's the ideal iron intake for a child with sickle cell disease on hydroxyurea?,recommendation,5,Mistral,True,,"[""iron""]",True,14
How much vitamin C should a child with scurvy consume daily?,recommendation,5,Mistral,True,,"[""vitamin_c""]",True,11
What's the recommended daily calorie intake for weight maintenance in Nigeria?,recommendation,4,Mistral,True,,[],False,11
How much protein should a child with marasmus consume daily?,recommendation,5,Mistral,True,,[],True,10
What's the ideal fat intake for someone with chylomicron retention disease?,recommendation,5,Mistral,True,,[],True,11
How much vitamin D should a child with hypocalcemia consume daily?,recommendation,5,Mistral,True,,"[""vitamin_d""]",True,11
What's the recommended daily iodine intake for pregnant women?,recommendation,4,Mistral,True,,"[""iodine""]",False,9
How much selenium should someone with Keshan disease consume daily?,recommendation,5,Mistral,True,,"[""selenium""]",True,10
What's the ideal carbohydrate intake for a child with glycogen storage disease type I?,recommendation,5,Mistral,True,,[],True,14
How much vitamin E should someone with ataxia-telangiectasia consume daily?,recommendation,5,Mistral,True,,"[""vitamin_e""]",True,10
What's the recommended daily chromium intake for someone with metabolic syndrome?,recommendation,4,Mistral,True,,"[""chromium""]",False,11
How much zinc should a 2-year-old with chronic diarrhea consume daily?,recommendation,5,Mistral,True,,"[""zinc""]",True,11
What's the ideal protein intake for a 50kg Ghanaian weightlifter?,recommendation,4,Mistral,True,,[],False,10
How much iron should a pregnant woman in Nigeria consume daily?,recommendation,4,Mistral,True,,"[""iron""]",False,11
What's the recommended daily fiber intake for someone with IBS-C?,recommendation,3,Mistral,True,,[],False,10
How much vitamin D should someone with osteoporosis consume daily?,recommendation,4,Mistral,True,,"[""vitamin_d""]",False,10
What's the ideal calcium intake for a child with hypocalcemia?,recommendation,5,Mistral,True,,"[""calcium""]",True,10
How much magnesium should someone with insulin resistance consume daily?,recommendation,4,Mistral,True,,"[""magnesium""]",False,10
What's the recommended daily potassium intake for someone with hypertension?,recommendation,4,Mistral,True,,"[""potassium""]",False,10
How much folate should someone with elevated homocysteine consume daily?,recommendation,5,Mistral,True,,"[""folate""]",True,10
What's the ideal protein intake for a child with MSUD?,recommendation,5,Mistral,True,,"[""leucine""]",True,10
How much zinc should a child with zinc deficiency consume daily?,recommendation,5,Mistral,True,,"[""zinc""]",True,11
What's the recommended daily vitamin A intake for a child with xerophthalmia?,recommendation,5,Mistral,True,,"[""vitamin_a""]",True,12
How much vitamin K should someone with vitamin K deficiency bleeding consume daily?,recommendation,5,Mistral,True,,"[""vitamin_k""]",True,13
What's the ideal iron intake for a child with thalassemia?,recommendation,5,Mistral,True,,"[""iron""]",True,10
How much vitamin C should a child with scurvy consume daily?,recommendation,5,Mistral,True,,"[""vitamin_c""]",True,11
What's the recommended daily calorie intake for weight gain in Nigeria?,recommendation,4,Mistral,True,,[],False,11
How much protein should a child with marasmus consume daily?,recommendation,5,Mistral,True,,[],True,10
What's the ideal fat intake for someone with short bowel syndrome?,recommendation,5,Mistral,True,,[],True,11
How much vitamin D should a child with hypocalcemic seizures consume daily?,recommendation,5,Mistral,True,,"[""vitamin_d""]",True,12
What's the recommended daily iodine intake for breastfeeding women?,recommendation,4,Mistral,True,,"[""iodine""]",False,9
How much selenium should someone with Kashin-Beck disease consume daily?,recommendation,5,Mistral,True,,"[""selenium""]",True,10
What's the ideal carbohydrate intake for someone with reactive hypoglycemia?,recommendation,4,Mistral,True,,[],False,10
How much vitamin E should someone with hemolytic anemia consume daily?,recommendation,5,Mistral,True,,"[""vitamin_e""]",True,11
What's the recommended daily chromium intake for someone with prediabetes?,recommendation,4,Mistral,True,,"[""chromium""]",False,10
How much zinc should a 4-year-old with impaired immunity consume daily?,recommendation,5,Mistral,True,,"[""zinc""]",True,11
What's the ideal protein intake for a 55kg South African cyclist?,recommendation,4,Mistral,True,,[],False,11
How much iron should a vegetarian consume daily?,recommendation,3,Mistral,True,,"[""iron""]",False,8
What's the recommended daily fiber intake for someone with diverticulosis?,recommendation,3,Mistral,True,,[],False,10
How much vitamin D should someone with sarcopenia consume daily?,recommendation,4,Mistral,True,,"[""vitamin_d""]",False,10
What's the ideal calcium intake for a child with osteogenesis imperfecta?,recommendation,5,Mistral,True,,"[""calcium""]",True,11
How much magnesium should someone with migraines consume daily?,recommendation,4,Mistral,True,,"[""magnesium""]",False,9
What's the recommended daily potassium intake for someone with hypokalemia?,recommendation,5,Mistral,True,,"[""potassium""]",True,10
How much folate should someone with neural tube defect history consume daily?,recommendation,5,Mistral,True,,"[""folate""]",True,12
What's the ideal protein intake for a child with PKU?,recommendation,5,Mistral,True,,"[""phenylalanine""]",True,10
How much zinc should a child with diarrhea consume daily?,recommendation,5,Mistral,True,,"[""zinc""]",True,10
What's the recommended daily vitamin A intake for a child with measles complications?,recommendation,5,Mistral,True,,"[""vitamin_a""]",True,13
How much vitamin K should someone with liver disease consume daily?,recommendation,5,Mistral,True,,"[""vitamin_k""]",True,11
What's the ideal iron intake for someone with hemochromatosis?,recommendation,5,Mistral,True,,"[""iron""]",True,9
How much vitamin C should a child with malnutrition consume daily?,recommendation,5,Mistral,True,,"[""vitamin_c""]",True,11
Nutrition therapy for hypertension with creatinine 1.2 mg/dL,therapy,5,Mistral,False,,"[""creatinine""]",True,8
Diet plan for type 2 diabetes with HbA1c 8.5% and on metformin,therapy,5,Mistral,False,,"[""hba1c""]",True,12
What should I eat if I have CKD stage 3 with urea 55 mg/dL?,therapy,5,Mistral,False,,"[""urea""]",True,14
Nutrition therapy for autoimmune disorder (Grave's disease) with TSH 0.1,therapy,5,Mistral,False,,"[""tsh""]",True,10
"My patient has gout with uric acid 9.2 mg/dL, what diet therapy should I prescribe?",therapy,5,Mistral,False,,"[""uric_acid""]",True,15
Dietary management for rheumatoid arthritis with CRP 15 mg/L,therapy,5,Mistral,False,,"[""crp""]",True,9
Nutrition plan for NAFLD with ALT 65 U/L and BMI 32,therapy,5,Mistral,False,,"[""alt""]",True,11
Diet therapy for ulcerative colitis in remission with calprotectin 120 µg/g,therapy,5,Mistral,False,,"[""calprotectin""]",True,11
What should I eat with celiac disease and iron deficiency anemia (ferritin 8 ng/mL)?,therapy,5,Mistral,False,,"[""ferritin""]",True,14
Nutrition management for heart failure with ejection fraction 35%,therapy,5,Mistral,False,,[],True,9
Diet plan for type 1 diabetes with frequent hypoglycemia episodes,therapy,5,Mistral,False,,[],True,10
Nutrition therapy for osteoporosis with T-score -2.8,therapy,5,Mistral,False,,[],True,7
Dietary management for IBS-D with positive lactose breath test,therapy,5,Mistral,False,,[],True,9
What should I eat if I have PKU with blood Phe 450 µmol/L?,therapy,5,Mistral,False,,"[""phenylalanine""]",True,13
Nutrition therapy for MSUD with leucine 800 µmol/L,therapy,5,Mistral,False,,"[""leucine""]",True,8
Diet plan for cystic fibrosis with fecal elastase 80 µg/g,therapy,5,Mistral,False,,[],True,10
Nutrition management for anorexia nervosa with BMI 15.2,therapy,5,Mistral,False,,[],True,8
Diet therapy for Crohn's disease with CRP 25 mg/L,therapy,5,Mistral,False,,"[""crp""]",True,9
What should I eat with hemochromatosis and ferritin 1500 ng/mL?,therapy,5,Mistral,False,,"[""ferritin""]",True,10
Nutrition plan for sarcopenia in elderly with SPPB score 6/12,therapy,5,Mistral,False,,[],True,10
Diet therapy for hypertension and high cholesterol with LDL 160 mg/dL,therapy,5,Mistral,False,,"[""ldl_cholesterol""]",True,11
Nutrition management for diabetic nephropathy with albumin:creatinine ratio 350 mg/g,therapy,5,Mistral,False,,[],True,10
What should I eat if I have gluten ataxia with positive anti-gliadin antibodies?,therapy,5,Mistral,False,,[],True,13
Diet plan for phenylketonuria with blood phenylalanine 600 µmol/L,therapy,5,Mistral,False,,"[""phenylalanine""]",True,9
Nutrition therapy for short bowel syndrome with D-xylose test 5 mg/dL,therapy,5,Mistral,False,,[],True,11
Dietary management for chronic pancreatitis with fecal elastase 40 µg/g,therapy,5,Mistral,False,,[],True,10
What should I eat with Wilson's disease and ceruloplasmin 10 mg/dL?,therapy,5,Mistral,False,,[],True,11
Nutrition plan for Marfan syndrome with aortic root dilation,therapy,5,Mistral,False,,[],True,9
Diet therapy for Ehlers-Danlos syndrome with POTS,therapy,5,Mistral,False,,[],True,7
What should I eat if I have hereditary hemochromatosis and ferritin 2000 ng/mL?,therapy,5,Mistral,False,,"[""ferritin""]",True,13
Nutrition management for NAFLD with fibrosis stage 2 on FibroScan,therapy,5,Mistral,False,,[],True,10
Diet plan for type 2 diabetes with CKD stage 3 (eGFR 45 mL/min),therapy,5,Mistral,False,,"[""egfr""]",True,13
Nutrition therapy for ulcerative colitis flare with Mayo score 9,therapy,5,Mistral,False,,[],True,10
Dietary management for celiac disease with persistent symptoms despite gluten-free diet,therapy,5,Mistral,False,,[],True,11
What should I eat if I have Sjögren's syndrome with dry mouth?,therapy,5,Mistral,False,,[],True,12
Diet therapy for rheumatoid arthritis with methotrexate treatment,therapy,5,Mistral,False,,[],True,8
Nutrition plan for osteopenia with vitamin D 18 ng/mL,therapy,5,Mistral,False,,"[""vitamin_d""]",True,9
What should I eat with hyperthyroidism and on methimazole treatment?,therapy,5,Mistral,False,,[],True,10
Diet management for Crohn's disease with stricturing phenotype,therapy,5,Mistral,False,,[],True,8
Nutrition therapy for anorexia nervosa with refeeding syndrome risk,therapy,5,Mistral,False,,[],True,9
What should I eat if I have chylomicron retention disease with vitamin E 3 µg/mL?,therapy,5,Mistral,False,,"[""vitamin_e""]",True,15
Diet plan for MSUD with valine 400 µmol/L,therapy,5,Mistral,False,,"[""valine""]",True,8
Nutrition management for cystic fibrosis with pancreatic insufficiency,therapy,5,Mistral,False,,[],True,8
Diet therapy for hypertension with potassium 3.2 mmol/L,therapy,5,Mistral,False,,"[""potassium""]",True,8
What should I eat with type 2 diabetes and GLP-1 agonist treatment?,therapy,5,Mistral,False,,[],True,12
Nutrition plan for NAFLD with NASH confirmed by biopsy,therapy,5,Mistral,False,,[],True,9
Diet therapy for ulcerative colitis with primary sclerosing cholangitis,therapy,5,Mistral,False,,[],True,9
What should I eat if I have celiac disease and concurrent IgA deficiency?,therapy,5,Mistral,False,,[],True,13
Nutrition management for rheumatoid arthritis with TNF inhibitor treatment,therapy,5,Mistral,False,,[],True,9
Diet plan for osteoporosis with history of fragility fracture,therapy,5,Mistral,False,,[],True,9
Nutrition therapy for hypertension with sodium 150 mmol/L,therapy,5,Mistral,False,,"[""sodium""]",True,8
What should I eat with type 1 diabetes and celiac disease comorbidity?,therapy,5,Mistral,False,,[],True,12
Diet management for IBD with iron deficiency anemia (ferritin 10 ng/mL),therapy,5,Mistral,False,,"[""ferritin""]",True,11
Nutrition plan for CKD stage 4 with phosphorus 5.2 mg/dL,therapy,5,Mistral,False,,"[""phosphorus""]",True,10
Diet therapy for autoimmune hepatitis with ALT 120 U/L,therapy,5,Mistral,False,,"[""alt""]",True,9
What should I eat if I have MCAD deficiency with carnitine 15 µmol/L?,therapy,5,Mistral,False,,"[""carnitine""]",True,13
Nutrition management for anorexia nervosa with hypokalemia (K+ 2.8 mmol/L),therapy,5,Mistral,False,,"[""potassium""]",True,10
Diet plan for PKU with tyrosine 30 µmol/L,therapy,5,Mistral,False,,"[""tyrosine""]",True,8
Nutrition therapy for MSUD with isoleucine 300 µmol/L,therapy,5,Mistral,False,,"[""isoleucine""]",True,8
What should I eat with cystic fibrosis and CFRD (cystic fibrosis-related diabetes)?,therapy,5,Mistral,False,,[],True,12
Diet management for heart failure with hyponatremia (Na+ 128 mmol/L),therapy,5,Mistral,False,,"[""sodium""]",True,10
Nutrition plan for NAFLD with T2DM and obesity (BMI 38),therapy,5,Mistral,False,,[],True,10
Diet therapy for ulcerative colitis with pouchitis,therapy,5,Mistral,False,,[],True,7
What should I eat if I have celiac disease and concurrent SIBO?,therapy,5,Mistral,False,,[],True,12
Nutrition management for rheumatoid arthritis with tocilizumab treatment,therapy,5,Mistral,False,,[],True,8
Diet plan for osteoporosis with history of vertebral fracture,therapy,5,Mistral,False,,[],True,9
Nutrition therapy for hypertension with magnesium 1.2 mg/dL,therapy,5,Mistral,False,,"[""magnesium""]",True,8
What should I eat with type 2 diabetes and SGLT2 inhibitor treatment?,therapy,5,Mistral,False,,[],True,12
Diet management for IBD with vitamin B12 deficiency (200 pg/mL),therapy,5,Mistral,False,,"[""vitamin_b12""]",True,10
Nutrition plan for CKD stage 3 with potassium 5.8 mg/dL,therapy,5,Mistral,False,,"[""potassium""]",True,10
